Time,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,6.38201430122593e-08,7.31795652669712e-08,8.02006189842489e-09,3.75875529536864e-07,5.0578559693714e-07,1.66895840070418e-06,3.04360702644163e-07,0,0,0,0,0,0,0,0,0,0
0.2,6.69707576914515e-05,7.68616495251742e-05,8.42603704421808e-06,0.000395359950969846,0.00053052995719138,0.00175086609024319,0.000319258772655439,0.00643943002794476,0.00798869110318612,0.00157081860086184,0.00135608622168765,0.00156510007817962,0.0015829875373021,0.00158243223712743,0.00157151107509537,0.00183458532353728,0.00159413465538083
0.4,0.000139636311983998,0.000160574525726356,1.76148792829644e-05,0.000828728496552936,0.00110506556902778,0.00364748603436859,0.000665017417034216,0.0108001294105261,0.0285952173740817,0.00329024312275296,0.0025269248241157,0.00325075893668327,0.00337316688640339,0.00335867358575758,0.0032945824622806,0.00434962206031788,0.00336942341787635
0.6,0.000217182135796448,0.000250452131886482,2.74999466193669e-05,0.00129896572521672,0.00171616283644831,0.00566527536090137,0.00103279681769827,0.0131976942265133,0.0607362791142594,0.00516183370491252,0.00369649492808462,0.00503675207937788,0.00541853614926171,0.00536146078767632,0.00517415032098477,0.00750449032397982,0.00530519748353222
0.8,0.00029935454251547,0.000346434841259978,3.80786845844054e-05,0.00180779698311514,0.00236084853671164,0.00779440374546651,0.00142080862979573,0.0139169323735917,0.102733727869002,0.00720230512835387,0.00504169529371616,0.00691745205171895,0.00777328801050112,0.00763172849326796,0.00722656760391299,0.011276843832637,0.00739658206952679
1,0.000386165553457885,0.000448779013334504,4.93767664530443e-05,0.00235803282509743,0.00303823905815058,0.0100319641666895,0.00182852324432222,0.013312213984267,0.1526447766477,0.00943392984774051,0.00669660980452036,0.00889326617471534,0.0104894012063727,0.0102107404522249,0.00947122608636719,0.0156849381228293,0.00964911786195469
1.2,0.000480933336974184,0.000561631627006305,6.1840387146236e-05,0.00297227703411103,0.00377335451392621,0.0124606045389153,0.00227100214921917,0.0118549514980104,0.209750593023172,0.011960141453011,0.0088147922661563,0.0110390234784241,0.0137019895688582,0.0132224538083104,0.0120055944788947,0.0209076269855891,0.012155336189779
1.4,0.00058349942324769,0.00068517979886699,7.54716869623866e-05,0.00365157134958781,0.00456368466011291,0.0150720866413653,0.00274673918039955,0.00987345669113548,0.272050038625704,0.0148030448923407,0.0114640549923777,0.0133504653535771,0.0174493074770172,0.016697991619465,0.0148416052049542,0.0270101477684621,0.0149250919577149
1.6,0.00069030232592514,0.000815632398156743,8.98265328690662e-05,0.00437453611924363,0.00538021250470741,0.0177706122976981,0.00323827374524496,0.00767905011307612,0.335821835813964,0.0178958648489449,0.0146098375991879,0.0157472078549098,0.0216507871783921,0.0205586795442989,0.0178994850434428,0.0338941888100068,0.0178815405449555
1.8,0.000799761436224669,0.00095145798961647,0.000104707633308916,0.00513087071484287,0.00620982097364961,0.0205128643973593,0.00373771227203689,0.00561241796817212,0.398397707625902,0.0212119143762258,0.0182108009100349,0.0181938402678758,0.0262600117366845,0.0247635035509794,0.0211411222602403,0.0415273702125547,0.0209958871662739
