Time,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
564.000000000035,1.18322238161345,2.06265496249344,1.48674024314509,6.120747478004,4.15149638438913,28.3651217791336,4.76288399971745,1.35609188149303e-07,0,12.2306323627595,45.2646713020838,1.11785443108858,4.12893401110573e-06,670.903226004182,37.6323780064356,56.9587533008831,1.34076344725424
564.200000000035,1.18660408215759,2.06496433714918,1.49164286480376,6.10332976310397,4.1507788717287,28.3299538385125,4.77774220346446,7.83783807710977e-06,2.83440276525839e-07,12.2559225806795,44.8138882187517,1.11529394194103,0.000299515088973847,669.818104616534,37.5273977697035,56.42032038644,1.3442776177174
564.400000000034,1.18661169742661,2.06495072209772,1.49165651738501,6.10319761814509,4.15083291947732,28.3301538115563,4.77784117267164,5.74288153473345e-06,0,12.2559833146512,44.814511755123,1.11537223459469,0.000182941589474819,669.814577700015,37.5267958474284,56.4286469608158,1.34434721511392
564.600000000034,1.18662878442907,2.06494468674186,1.4916837985522,6.10303346882029,4.15089048353924,28.3303226603418,4.77798199307391,4.44964490190197e-06,0,12.2561283465873,44.8145906117919,1.11545040908488,0.000122949733862226,669.809516637279,37.5260185367629,56.4362914257472,1.34442709692317
564.800000000034,1.18664958368487,2.0649433237346,1.49171621278693,6.10287228457024,4.15095128276341,28.3305049174765,4.77813564549563,3.57025581674298e-06,0,12.2563146998087,44.8148161548182,1.1155284808677,8.77274619608052e-05,669.804817572369,37.5252664996873,56.4436646899086,1.34450790238724
565.000000000034,1.18667300699005,2.06494602258629,1.49175215834139,6.10271998035633,4.15101513021636,28.3307051762819,4.7782964980769,2.94673411142797e-06,0,12.2565338406113,44.8152975787835,1.11560628554868,6.55118096738194e-05,669.800748801254,37.5245730718887,56.4508040535108,1.3445877778454
565.200000000034,1.18670138854214,2.06495826178748,1.49179431181915,6.10259936366753,4.15109196861295,28.3309979411552,4.77847177820106,2.50378394995263e-06,0,12.2568100295941,44.8160251509813,1.11568272723732,4.99468233601221e-05,669.799149773039,37.5240680569264,56.457464008354,1.34466782463896
565.400000000034,1.18674348982844,2.06499522505724,1.49185368175141,6.10255523869697,4.15121288362858,28.3315940467186,4.778697041419,2.80881385692537e-06,0,12.2572301635775,44.8169622705197,1.11576102974901,3.97635869027025e-05,669.804392267182,37.5240176886389,56.4635478916388,1.34475836214312
565.600000000033,1.186798762754,2.06505507189732,1.49192972445981,6.10257845020436,4.15137557387082,28.3324715892598,4.77897157072516,4.86229752157072e-06,0,12.257786678825,44.8181177136505,1.11584259448359,3.59267138905865e-05,669.81572921206,37.5243670715982,56.4692327743834,1.34486016376435
565.800000000033,1.18686316303526,2.06513049282725,1.49201739785506,6.1026462145447,4.1515659633015,28.3335318309929,4.7792796320384,9.04121803260528e-06,0,12.2584378754356,44.8194955568129,1.11592650342317,3.93392349974618e-05,669.830955002041,37.5249783481762,56.4746363890438,1.34496943907485
566.000000000033,1.1869325630251,2.06521424409657,1.49211151894473,6.10273681176951,4.15177008020187,28.3346778756455,4.77960502238459,1.50299305993964e-05,0,12.2591420823424,44.8210908176196,1.11601147722174,5.0002077422752e-05,669.847980049186,37.5257213614814,56.4798585825799,1.34508234020184
566.200000000033,1.18700340069085,2.0652990420416,1.49220781080921,6.10282404959853,4.15197497354502,28.3358129208949,4.77993518341568,2.26802801898149e-05,0,12.2598641671427,44.82295411217,1.11609820376152,6.85069779284003e-05,669.864539776724,37.5264462598581,56.4851802499064,1.34519681873806
566.400000000033,1.18706554383274,2.06536753413621,1.49229348612133,6.1028577707948,4.15214649237685,28.3367040049599,4.7802296258936,3.07512529078954e-05,0,12.2605037131942,44.8250909097936,1.11618307707169,9.26599969637302e-05,669.875795108674,37.5268553700777,56.4907715928531,1.34530245601205
566.600000000032,1.18711448542299,2.06541310897489,1.49236264560732,6.10282365537584,4.15227158971007,28.3372689300748,4.78046968565006,3.6938434119973e-05,0,12.2610171892442,44.8274302004439,1.11626296201126,0.000116924307654154,669.880312509822,37.5268635311823,56.4965864426123,1.34539451330906
566.800000000032,1.18715144581167,2.06543832153186,1.49241673949011,6.1027311204809,4.15235625596586,28.3375510251368,4.78066070139748,3.99182250804138e-05,0,12.2614181169079,44.8299311122228,1.11633804103138,0.000136252797839806,669.879137303141,37.5265303216414,56.5026303856236,1.3454751806765
567.000000000032,1.18717904406584,2.06544785978674,1.49245903517493,6.1025946401099,4.15241071078724,28.3376216011604,4.78081384433396,3.95844938675847e-05,0,12.2617332983507,44.8325761662385,1.11640949651578,0.000147614353619005,669.873820644959,37.5259445730544,56.5089301158197,1.3455481034798
567.200000000032,1.1871998727828,2.06544624632897,1.49249279192325,6.10242771520648,4.15244460135138,28.3375483215446,4.78094014907277,3.66317141369211e-05,0,12.2619886898467,44.8353648363691,1.11647869943589,0.000150376743308865,669.865795424067,37.5251878908786,56.5155215370126,1.34561663987668
567.400000000032,1.18721609585758,2.06543720733535,1.49252074198186,6.10224129328458,4.15246573624391,28.3373867213557,4.78104883655042,3.20477159819153e-05,0,12.2622056056904,44.838308155835,1.11654693117514,0.000145642457194169,669.856220167269,37.5243255853157,56.5224449170893,1.34568341704123
567.600000000032,1.18722938082088,2.06542358233417,1.49254499995155,6.10204361027749,4.15247995669551,28.3371791965037,4.78114704092891,2.67671893962982e-05,0,12.2624002347939,44.841424599974,1.1166152921869,0.000135343946597747,669.845970106318,37.5234061814771,56.5297429983709,1.34575030087628
