Time,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,0.0425467620081729,0.0487863768446475,0.00534670793228326,0.250583686357909,0.337190397958094,1.11263893380279,0.202907135096108,2.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.2,0.0425630353811739,0.0488449014666061,0.0053538681449405,0.251165642649526,0.337169862886951,1.11249326778496,0.202903906814369,3.01797614524608,4.2030422155756,0.609683920091165,0.485871320195606,0.548107768092152,0.61684406175942,0.612770620573609,0.609970399377932,0.73508599580234,0.508020798507248
0.4,0.0426037602286522,0.0489842567728964,0.00537170321214527,0.252628573861395,0.337149786041577,1.11236110720463,0.202901363731929,2.82761604144982,7.97682398476562,0.702250503439683,0.479545327930729,0.585047639091173,0.726399733801558,0.715351939075334,0.703277659024981,0.936696264942896,0.517071161928509
0.6,0.042666515870426,0.0491918899333555,0.00539869300825037,0.254863281053935,0.337130221967295,1.11222992748754,0.202899080684512,2.39399794390379,11.4219368782203,0.782246343055762,0.493753814963297,0.614444526448692,0.831618105135633,0.811093978903138,0.784291492782119,1.10727698512105,0.526450849195552
0.8,0.0427491637319738,0.0494594205941479,0.00543322729834771,0.257751896110857,0.337111301713165,1.11210014612995,0.202897228019575,1.91099385929647,14.422885444447,0.853125462437396,0.526507936571889,0.638725143493282,0.934436774953857,0.902346930087884,0.856213112115342,1.25792555356415,0.536421227234466
1,0.0428502324061845,0.0497826486127278,0.00547396824910013,0.261182312741998,0.337093189676452,1.11197309106285,0.202896005070491,1.46037001834872,16.9614438719094,0.917603836930537,0.574185607819318,0.659524795019592,1.03614324866915,0.99078386600427,0.921444887897071,1.39749064148072,0.547281523265032
1.2,0.0429687465523376,0.0501603119660617,0.00551985434899096,0.265044540426242,0.337076064279505,1.11184964061973,0.202895582702017,1.07530904295213,19.0580568194326,0.977816134624563,0.633163449376243,0.677945842178104,1.13747831521753,1.07751981857599,0.981762669427379,1.53215375039858,0.55927800984655
1.4,0.0431038934371907,0.0505926422017769,0.0055700481341698,0.269230343614216,0.337060108292789,1.11173016949005,0.202896088157104,0.765775523611886,20.7530222943723,1.03539427721052,0.700078628381078,0.694725847939875,1.23874945311802,1.1632329589594,1.03845363821921,1.66607437678482,0.572582475897929
1.6,0.0432546665445693,0.0510798030949872,0.00562389043208002,0.273640486590092,0.337045507773813,1.11161479664447,0.202897599423148,0.529448204667198,22.0983821307313,1.09151331419219,0.771980955528418,0.710348858656222,1.34001871190861,1.24833794493021,1.0924554797147,1.8020723605247,0.58728628670563
1.8,0.0434196137774899,0.0516203721087205,0.005680869124791,0.278196674724002,0.337032460512756,1.11150368665977,0.202900148169046,0.357693550750935,23.1541351350121,1.1469387776137,0.846527893262954,0.725121751724874,1.4413289139201,1.33318373223847,1.14449108158707,1.94221601278373,0.603407742895109
