Time,Bacteroides theta,Bacteroides fragilis,Bifido longum,Bifido breve,Bifido adolescentis,Eubacterium hallii,Faecalibacterium prausnitzii,Roseburia intestinalis
1.04,0.010479412,0.01156581,0.01357027,0.03628734,0.016243229,0.014468289,0.010933198,0.010921611
1.06,0.01049098,0.01160022,0.013652493,0.037317006,0.016408446,0.014647836,0.010954817,0.010942553
1.08,0.01050265,0.011634816,0.013735338,0.038377679,0.016575791,0.014830015,0.010976592,0.010963632
1.1,0.010514424,0.0116696,0.013818811,0.039470249,0.016745292,0.015014868,0.010998525,0.010984849
1.12,0.010526303,0.011704573,0.01390292,0.040595634,0.016916977,0.015202439,0.011020618,0.011006203
1.14,0.010538286,0.011739736,0.013987671,0.041754776,0.017090874,0.015392771,0.011042872,0.011027697
1.16,0.010550375,0.011775091,0.014073072,0.042948647,0.017267012,0.015585909,0.011065287,0.011049331
1.18,0.010562571,0.01181064,0.014159129,0.044178245,0.017445419,0.015781897,0.011087864,0.011071107
1.2,0.010574875,0.011846384,0.014245849,0.045444597,0.017626125,0.015980782,0.011110606,0.011093024
1.22,0.010587288,0.011882325,0.014333241,0.04674876,0.01780916,0.016182609,0.011133513,0.011115084
1.24,0.01059981,0.011918465,0.014421311,0.04809182,0.017994553,0.016387425,0.011156587,0.011137288
1.26,0.010612443,0.011954805,0.014510066,0.049474896,0.018182335,0.016595278,0.011179828,0.011159638
1.28,0.010625187,0.011991346,0.014599514,0.050899136,0.018372536,0.016806214,0.011203239,0.011182133
1.3,0.010638044,0.012028091,0.014689662,0.052365724,0.018565188,0.017020284,0.011226819,0.011204775
1.32,0.010651014,0.012065041,0.014780518,0.053875875,0.018760322,0.017237536,0.011250571,0.011227566
1.34,0.010664098,0.012102197,0.01487209,0.05543084,0.018957969,0.01745802,0.011274496,0.011250505
1.36,0.010677298,0.012139563,0.014964385,0.057031906,0.019158162,0.017681785,0.011298594,0.011273595
1.38,0.010690614,0.012177138,0.01505741,0.058680393,0.019360934,0.017908884,0.011322868,0.011296835
1.4,0.010704047,0.012214926,0.015151175,0.060377663,0.019566317,0.018139367,0.011347319,0.011320228
1.42,0.010717599,0.012252927,0.015245686,0.062125113,0.019774345,0.018373286,0.011371948,0.011343774
1.44,0.010731269,0.012291144,0.015340951,0.06392418,0.019985051,0.018610695,0.011396755,0.011367474
1.46,0.01074506,0.012329578,0.015436979,0.065776342,0.02019847,0.018851647,0.011421744,0.01139133
1.48,0.010758973,0.012368231,0.015533778,0.067683118,0.020414637,0.019096195,0.011446914,0.011415342
1.5,0.010773007,0.012407105,0.015631355,0.069646068,0.020633586,0.019344394,0.011472268,0.011439511
1.52,0.010787166,0.012446202,0.015729719,0.071666799,0.020855353,0.0195963,0.011497807,0.01146384
1.54,0.010801448,0.012485525,0.015828878,0.073746959,0.021079973,0.019851968,0.011523532,0.011488328
1.56,0.010815856,0.012525073,0.015928841,0.075888243,0.021307484,0.020111454,0.011549444,0.011512976
1.58,0.010830391,0.01256485,0.016029616,0.078092395,0.021537921,0.020374815,0.011575545,0.011537787
1.6,0.010845053,0.012604858,0.016131212,0.080361204,0.021771323,0.02064211,0.011601837,0.011562761
1.62,0.010859844,0.012645099,0.016233636,0.082696509,0.022007726,0.020913395,0.01162832,0.011587899
1.64,0.010874765,0.012685574,0.016336899,0.085100202,0.022247169,0.02118873,0.011654997,0.011613203
1.66,0.010889817,0.012726285,0.016441008,0.087574223,0.02248969,0.021468175,0.011681869,0.011638673
1.68,0.010905,0.012767235,0.016545972,0.090120569,0.022735328,0.021751788,0.011708937,0.011664311
1.7,0.010920318,0.012808425,0.016651801,0.092741288,0.022984124,0.022039631,0.011736202,0.011690118
1.72,0.010935769,0.012849859,0.016758502,0.095438486,0.023236116,0.022331764,0.011763667,0.011716095
1.74,0.010951356,0.012891537,0.016866086,0.098214324,0.023491346,0.022628249,0.011791333,0.011742244
1.76,0.01096708,0.012933461,0.016974561,0.101071023,0.023749853,0.022929149,0.011819201,0.011768565
1.78,0.010982941,0.012975635,0.017083937,0.104010863,0.024011681,0.023234526,0.011847273,0.01179506
1.8,0.010998942,0.01301806,0.017194223,0.107036187,0.024276871,0.023544444,0.011875551,0.01182173
1.82,0.011015083,0.013060738,0.017305428,0.110149397,0.024545465,0.023858965,0.011904035,0.011848577
1.84,0.011031365,0.013103672,0.017417561,0.113352962,0.024817506,0.024178156,0.011932728,0.011875601
1.86,0.01104779,0.013146864,0.017530633,0.116649415,0.025093038,0.02450208,0.011961632,0.011902804
1.88,0.01106436,0.013190316,0.017644653,0.120041358,0.025372104,0.024830803,0.011990747,0.011930187
1.9,0.011081074,0.01323403,0.01775963,0.123531458,0.02565475,0.025164391,0.012020076,0.011957752
1.92,0.011097934,0.013278009,0.017875574,0.127122455,0.025941021,0.025502911,0.012049621,0.011985499
1.94,0.011114943,0.013322254,0.017992496,0.130817159,0.026230962,0.02584643,0.012079382,0.012013431
1.96,0.0111321,0.01336677,0.018110405,0.134618454,0.02652462,0.026195014,0.012109362,0.012041548
1.98,0.011149408,0.013411556,0.018229311,0.138529298,0.02682204,0.026548733,0.012139562,0.012069852
2,0.011166867,0.013456617,0.018349224,0.142552725,0.027123272,0.026907654,0.012169984,0.012098344
2.02,0.011184479,0.013501955,0.018470155,0.146691846,0.027428362,0.027271847,0.012200631,0.012127026
2.04,0.011202246,0.013547571,0.018592113,0.150949853,0.027737359,0.02764138,0.012231502,0.012155898
2.06,0.011220168,0.013593469,0.01871511,0.155330018,0.028050312,0.028016323,0.012262601,0.012184963
2.08,0.011238247,0.013639651,0.018839156,0.159835694,0.028367272,0.028396747,0.01229393,0.012214221
2.1,0.011256485,0.01368612,0.018964261,0.164470321,0.028688287,0.028782723,0.012325489,0.012243675
2.12,0.011274882,0.013732878,0.019090436,0.169237422,0.02901341,0.02917432,0.012357281,0.012273325
2.14,0.01129344,0.013779928,0.019217692,0.174140608,0.029342691,0.029571611,0.012389307,0.012303174
2.16,0.011312161,0.013827272,0.01934604,0.179183578,0.029676183,0.029974667,0.01242157,0.012333222
2.18,0.011331046,0.013874913,0.01947549,0.184370122,0.030013939,0.03038356,0.012454072,0.01236347
2.2,0.011350097,0.013922854,0.019606054,0.189704121,0.030356012,0.030798362,0.012486814,0.012393922
2.22,0.011369314,0.013971097,0.019737743,0.195189549,0.030702457,0.031219147,0.012519798,0.012424577
2.24,0.0113887,0.014019645,0.019870568,0.200830475,0.031053327,0.031645986,0.012553026,0.012455438
2.26,0.011408256,0.014068502,0.020004541,0.206631064,0.031408678,0.032078954,0.012586501,0.012486505
2.28,0.011427983,0.014117669,0.020139673,0.212595579,0.031768567,0.032518123,0.012620223,0.012517782
2.3,0.011447883,0.01416715,0.020275975,0.218728379,0.03213305,0.032963567,0.012654196,0.012549268
2.32,0.011467957,0.014216948,0.02041346,0.225033927,0.032502185,0.03341536,0.012688421,0.012580966
2.34,0.011488208,0.014267065,0.020552138,0.231516783,0.032876029,0.033873575,0.0127229,0.012612878
2.36,0.011508636,0.014317504,0.020692023,0.238181613,0.033254642,0.034338287,0.012757635,0.012645004
2.38,0.011529243,0.014368269,0.020833125,0.245033183,0.033638083,0.034809571,0.012792629,0.012677347
2.4,0.011550031,0.014419363,0.020975458,0.252076367,0.034026412,0.035287499,0.012827883,0.012709908
2.42,0.011571001,0.014470787,0.021119032,0.25931614,0.03441969,0.035772146,0.0128634,0.012742688
2.44,0.011592155,0.014522547,0.021263861,0.266757587,0.03481798,0.036263587,0.012899181,0.012775691
2.46,0.011613495,0.014574644,0.021409957,0.274405899,0.035221343,0.036761896,0.012935229,0.012808916
2.48,0.011635023,0.014627082,0.021557332,0.282266372,0.035629843,0.037267147,0.012971546,0.012842366
2.5,0.011656739,0.014679863,0.021706,0.290344411,0.036043543,0.037779415,0.013008135,0.012876043
2.52,0.011678646,0.014732992,0.021855972,0.298645531,0.036462509,0.038298772,0.013044997,0.012909948
2.54,0.011700746,0.014786472,0.022007262,0.307175352,0.036886806,0.038825294,0.013082135,0.012944083
2.56,0.011723039,0.014840306,0.022159882,0.315939605,0.037316501,0.039359053,0.013119551,0.01297845
2.58,0.011745529,0.014894496,0.022313847,0.324944126,0.03775166,0.039900124,0.013157247,0.01301305
2.6,0.011768217,0.014949047,0.022469168,0.334194861,0.038192351,0.040448579,0.013195226,0.013047886
2.62,0.011791104,0.015003962,0.02262586,0.343697861,0.038638643,0.041004491,0.01323349,0.013082958
2.64,0.011814192,0.015059245,0.022783935,0.353459284,0.039090606,0.041567932,0.013272042,0.01311827
2.66,0.011837483,0.015114898,0.022943408,0.363485392,0.03954831,0.042138976,0.013310883,0.013153823
2.68,0.01186098,0.015170926,0.023104291,0.373782549,0.040011826,0.042717692,0.013350016,0.013189619
2.7,0.011884683,0.015227333,0.0232666,0.384357224,0.040481226,0.043304153,0.013389444,0.013225659
2.72,0.011908595,0.01528412,0.023430347,0.395215981,0.040956584,0.043898429,0.01342917,0.013261945
2.74,0.011932718,0.015341294,0.023595548,0.406365484,0.041437973,0.04450059,0.013469195,0.01329848
2.76,0.011957054,0.015398856,0.023762215,0.417812491,0.041925468,0.045110705,0.013509522,0.013335265
2.78,0.011981604,0.015456811,0.023930363,0.429563848,0.042419144,0.045728844,0.013550154,0.013372303
