MetaOTU	Species	Type	Sample	RelativeAbundance
MS00052	Bacteroides thetaiotaomicron	12 Months	X276	0.00277116781296162
MS00052	Bacteroides thetaiotaomicron	12 Months	X281	0.0364959126177661
MS00052	Bacteroides thetaiotaomicron	12 Months	X282	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X332	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X335	0.00295508364180718
MS00052	Bacteroides thetaiotaomicron	12 Months	X338	0.00253125991549508
MS00052	Bacteroides thetaiotaomicron	12 Months	X341	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X343	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X350	0.0639019108349157
MS00052	Bacteroides thetaiotaomicron	12 Months	X367	0.124010794270762
MS00052	Bacteroides thetaiotaomicron	12 Months	X377	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X383	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X385	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X397	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X39	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X42	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X45	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X51	0.0020015715274905
MS00052	Bacteroides thetaiotaomicron	12 Months	X521	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X526	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X527	0.00251978547833902
MS00052	Bacteroides thetaiotaomicron	12 Months	X536	0.00621818252591649
MS00052	Bacteroides thetaiotaomicron	12 Months	X544	0.0110422605824364
MS00052	Bacteroides thetaiotaomicron	12 Months	X549	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X560	0.000833955647480432
MS00052	Bacteroides thetaiotaomicron	12 Months	X565	0.018682530327735
MS00052	Bacteroides thetaiotaomicron	12 Months	X567	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X572	0.000343853929039914
MS00052	Bacteroides thetaiotaomicron	12 Months	X582	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X585	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X587	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X589	0.0616414488204776
MS00052	Bacteroides thetaiotaomicron	12 Months	X590	0.0745668270518431
MS00052	Bacteroides thetaiotaomicron	12 Months	X591	0.0354282652333724
MS00052	Bacteroides thetaiotaomicron	12 Months	X599	0.000220374289160481
MS00052	Bacteroides thetaiotaomicron	12 Months	X608	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X615	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X624	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X633	0.064933740099932
MS00052	Bacteroides thetaiotaomicron	12 Months	X637	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X78	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X87	0.00011392601100727
MS00054	Bacteroides fragilis	12 Months	X105	0
MS00054	Bacteroides fragilis	12 Months	X10	0.020919896816571
MS00054	Bacteroides fragilis	12 Months	X128	0
MS00054	Bacteroides fragilis	12 Months	X12	0
MS00054	Bacteroides fragilis	12 Months	X130	0.0702983247371545
MS00054	Bacteroides fragilis	12 Months	X133	3.86891960690359e-05
MS00054	Bacteroides fragilis	12 Months	X137	0.042271353683622
MS00054	Bacteroides fragilis	12 Months	X150	0.0885969898435733
MS00054	Bacteroides fragilis	12 Months	X157	0
MS00054	Bacteroides fragilis	12 Months	X172	0.000930980874644671
MS00054	Bacteroides fragilis	12 Months	X180	0.362921796897857
MS00054	Bacteroides fragilis	12 Months	X181	0
MS00054	Bacteroides fragilis	12 Months	X184	8.99317739898786e-05
MS00054	Bacteroides fragilis	12 Months	X201	0.129361580563783
MS00054	Bacteroides fragilis	12 Months	X229	0.000308122933916981
MS00054	Bacteroides fragilis	12 Months	X238	0.10059363821149
MS00054	Bacteroides fragilis	12 Months	X240	0
MS00054	Bacteroides fragilis	12 Months	X256	0
MS00054	Bacteroides fragilis	12 Months	X258	0
MS00054	Bacteroides fragilis	12 Months	X263	0.00898203858990188
MS00054	Bacteroides fragilis	12 Months	X265	0.0916603744447766
MS00054	Bacteroides fragilis	12 Months	X268	0
MS00054	Bacteroides fragilis	12 Months	X26	0
MS00054	Bacteroides fragilis	12 Months	X272	0.0337503768360196
MS00054	Bacteroides fragilis	12 Months	X274	0.00167760335572946
MS00054	Bacteroides fragilis	12 Months	X275	0.0836165792200685
MS00054	Bacteroides fragilis	12 Months	X276	0.000303335496729818
MS00054	Bacteroides fragilis	12 Months	X281	0
MS00054	Bacteroides fragilis	12 Months	X282	0.0535027388246485
MS00054	Bacteroides fragilis	12 Months	X332	0.00602789693053315
MS00054	Bacteroides fragilis	12 Months	X335	0
MS00054	Bacteroides fragilis	12 Months	X338	0
MS00054	Bacteroides fragilis	12 Months	X341	0.0289531061853246
MS00054	Bacteroides fragilis	12 Months	X343	0
MS00054	Bacteroides fragilis	12 Months	X350	0.0015134449066507
MS00054	Bacteroides fragilis	12 Months	X367	0.0128884923328263
MS00054	Bacteroides fragilis	12 Months	X377	0
MS00054	Bacteroides fragilis	12 Months	X383	0.0393678798207743
MS00054	Bacteroides fragilis	12 Months	X385	0.000830149694151208
MS00054	Bacteroides fragilis	12 Months	X397	0.000391614657108046
MS00054	Bacteroides fragilis	12 Months	X39	0
MS00054	Bacteroides fragilis	12 Months	X42	0
MS00054	Bacteroides fragilis	12 Months	X45	0.012107625748996
MS00054	Bacteroides fragilis	12 Months	X51	0.0155263481585944
MS00054	Bacteroides fragilis	12 Months	X521	0.0791530815627976
MS00054	Bacteroides fragilis	12 Months	X526	0
MS00054	Bacteroides fragilis	12 Months	X527	0.00920111641829391
MS00054	Bacteroides fragilis	12 Months	X536	0.000405195224348632
MS00054	Bacteroides fragilis	12 Months	X544	0.000257691259103424
MS00054	Bacteroides fragilis	12 Months	X549	0
MS00054	Bacteroides fragilis	12 Months	X560	0
MS00054	Bacteroides fragilis	12 Months	X565	0.0680674652606377
MS00054	Bacteroides fragilis	12 Months	X567	0.0578938130171418
MS00054	Bacteroides fragilis	12 Months	X572	0
MS00054	Bacteroides fragilis	12 Months	X582	0.045726760311594
MS00054	Bacteroides fragilis	12 Months	X585	0
MS00054	Bacteroides fragilis	12 Months	X587	0.0756243415337408
MS00054	Bacteroides fragilis	12 Months	X589	0
MS00054	Bacteroides fragilis	12 Months	X590	0
MS00054	Bacteroides fragilis	12 Months	X591	0.0208671154041658
MS00054	Bacteroides fragilis	12 Months	X599	0
MS00054	Bacteroides fragilis	12 Months	X608	0
MS00054	Bacteroides fragilis	12 Months	X615	0.0108027277870282
MS00054	Bacteroides fragilis	12 Months	X624	0
MS00054	Bacteroides fragilis	12 Months	X633	0
MS00054	Bacteroides fragilis	12 Months	X637	0
MS00054	Bacteroides fragilis	12 Months	X78	0.000625658413858732
MS00054	Bacteroides fragilis	12 Months	X87	0
MS00056	Bifidobacterium breve	12 Months	X105	0.0011826604922183
MS00056	Bifidobacterium breve	12 Months	X10	0
MS00056	Bifidobacterium breve	12 Months	X128	0
MS00056	Bifidobacterium breve	12 Months	X12	0
MS00056	Bifidobacterium breve	12 Months	X130	0
MS00056	Bifidobacterium breve	12 Months	X133	0.00018980732994848
MS00056	Bifidobacterium breve	12 Months	X137	0
MS00056	Bifidobacterium breve	12 Months	X150	0
MS00056	Bifidobacterium breve	12 Months	X157	0.00268547940486828
MS00056	Bifidobacterium breve	12 Months	X172	0
MS00056	Bifidobacterium breve	12 Months	X180	0
MS00056	Bifidobacterium breve	12 Months	X181	0
MS00056	Bifidobacterium breve	12 Months	X184	0
MS00056	Bifidobacterium breve	12 Months	X201	0
MS00056	Bifidobacterium breve	12 Months	X229	0
MS00056	Bifidobacterium breve	12 Months	X238	0
MS00056	Bifidobacterium breve	12 Months	X240	0
MS00056	Bifidobacterium breve	12 Months	X256	0.0229988152807193
MS00056	Bifidobacterium breve	12 Months	X258	0
MS00056	Bifidobacterium breve	12 Months	X263	0
MS00056	Bifidobacterium breve	12 Months	X265	0.000188740925965227
MS00056	Bifidobacterium breve	12 Months	X268	3.03357841482844e-05
MS00056	Bifidobacterium breve	12 Months	X26	0
MS00056	Bifidobacterium breve	12 Months	X272	0.000170865870523468
MS00056	Bifidobacterium breve	12 Months	X274	0
MS00056	Bifidobacterium breve	12 Months	X275	0
MS00056	Bifidobacterium breve	12 Months	X276	0
MS00056	Bifidobacterium breve	12 Months	X281	0
MS00056	Bifidobacterium breve	12 Months	X282	0.000239834823073682
MS00056	Bifidobacterium breve	12 Months	X332	0
MS00056	Bifidobacterium breve	12 Months	X335	0.0144935341476942
MS00056	Bifidobacterium breve	12 Months	X338	0
MS00056	Bifidobacterium breve	12 Months	X341	1.83316248562456e-05
MS00056	Bifidobacterium breve	12 Months	X343	0.000250416278830661
MS00056	Bifidobacterium breve	12 Months	X350	0.0013654150975622
MS00056	Bifidobacterium breve	12 Months	X367	0.0294189348880923
MS00056	Bifidobacterium breve	12 Months	X377	0.0155082846104188
MS00056	Bifidobacterium breve	12 Months	X383	0.00101147641865763
MS00056	Bifidobacterium breve	12 Months	X385	0
MS00056	Bifidobacterium breve	12 Months	X397	0.000290561949059936
MS00056	Bifidobacterium breve	12 Months	X39	0
MS00056	Bifidobacterium breve	12 Months	X42	0.00694142129777666
MS00056	Bifidobacterium breve	12 Months	X45	0.0838962822683107
MS00056	Bifidobacterium breve	12 Months	X51	0
