X105_B	X10_B	X128_B	X12_B	X130_B	X133_B	X137_B	X150_B	X157_B	X172_B	X180_B	X181_B	X184_B	X201_B	X229_B	X238_B	X240_B	X256_B	X258_B	X263_B	X265_B	X268_B	X26_B	X272_B	X274_B	X275_B	X276_B	X281_B	X282_B	X332_B	X335_B	X338_B	X341_B	X343_B	X350_B	X367_B	X377_B	X383_B	X385_B	X397_B	X39_B	X42_B	X45_B	X51_B	X521_B	X526_B	X527_B	X536_B	X544_B	X549_B	X560_B	X565_B	X567_B	X572_B	X582_B	X585_B	X587_B	X589_B	X590_B	X591_B	X599_B	X608_B	X615_B	X624_B	X633_B	X637_B	X78_B	X87_B
MN00014	0	0	0	0	0	0	0	0	0	0	0	0	0.18131647858006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0408209769650323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47614390295105e-05	0	4.54203001726929e-05	0	0	0	0	0.202897373702586	0	0	0	0	0	0
MN00015	0	0	0	0	0	0	0	0	0	0	0	0	0.00108562855065173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04124845394972e-05	0	0	0	3.47511623226043e-05	0	0	0	0	0	4.15254686114517e-05	7.66658228886667e-05	0	0	0	0	3.48367959809524e-05	0	0	0	0	0	0	6.41163316707106e-05	4.504650762193e-05	0.000106000099641182	0	0	0	0	0	0.0106673109365674	0	0	0
MN00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00850660903970231	0.00943776445624247	0.00438477474854209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0430316515320761	0	0	0	0	0	0.00204656400616905	0	0	0
MN00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011124073747259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000644831646076789	0	0	0
MN00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013684580346719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000983804551170631	0	0	0
MN00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
