Time,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
600.000000000002,0.678833006216783,1.17642896557368,0.855356874949563,3.4404696080378,2.32945786768094,15.9239633644069,2.72491027506999,9.59399398933097e-06,1.39871481898779e-05,7.16162253507076,48.5881879470719,0.946919576256515,0.0014834701919023,408.764066959074,21.5246769992125,64.3931635999841,0.743969357980035
600.200000000002,0.678714361622056,1.17625664222825,0.855145172475913,3.43921227532012,2.32738169074866,15.9062290829032,2.72301110808442,0.000448026786326286,0.000271473328468566,7.15823155925662,48.4904923495279,0.94540351448875,0.00152449573773699,408.371349303401,21.5134583845094,64.1154233740431,0.742304123202694
600.400000000002,0.678618987527197,1.1761186450908,0.85496011721576,3.4380238634263,2.32540278271538,15.8893768828636,2.72126741283918,0.00250818849232069,0.00161061845371591,7.15492104316067,48.3848876085793,0.943874768659831,0.00317992639823938,407.987767199457,21.5025064230183,63.8367231230934,0.740767895393612
600.600000000002,0.678509027464507,1.17594887255939,0.854754091397325,3.43671087668255,2.32343939020627,15.8732947776509,2.71962798603175,0.00603346326181146,0.00420150976891335,7.1512867924693,48.2683501679944,0.942305419764104,0.00827987335629866,407.60418531673,21.4906194621352,63.5656076385304,0.739473378291276
600.800000000001,0.678370552375508,1.17572224391957,0.854510059761815,3.4352044811945,2.32152969502929,15.8584669776817,2.71813747701124,0.01047734457606,0.00814342303116894,7.14718261784347,48.1386444777631,0.940694893297898,0.0178389664703893,407.225296663396,21.4773912140125,63.3116854998372,0.738565363975467
601.000000000001,0.678199596886327,1.17543036656977,0.854223933217938,3.43348884029847,2.31976154134318,15.8455059962983,2.71686246661671,0.0153899798650744,0.0135986998677741,7.1425697223062,47.9943267959172,0.939058598903137,0.0323350252278392,406.858954536852,21.462756489151,63.083700517838,0.738192008170006
601.200000000001,0.677953463189191,1.17499698547345,0.853842844578211,3.43134885520688,2.31808288886561,15.8339145925622,2.71568810006276,0.0200650159199844,0.0205361536064895,7.13699603715685,47.8333794857171,0.937382254920675,0.0520097131689502,406.48736154035,21.4454188359699,62.8874896386608,0.738440584262011
601.400000000001,0.677637712685131,1.17442916039304,0.853375331255811,3.42882128922286,2.31660554184322,15.8239777764733,2.71464494292504,0.0227006037154628,0.0272107164345504,7.13053600738008,47.6569993785216,0.935702863330767,0.0754158444299115,406.116124616675,21.4256819997965,62.7267668370074,0.739356605986972
601.600000000001,0.677302616319452,1.17381212802151,0.852886491393621,3.42617604431458,2.31554970282528,15.8164879443974,2.71387398111235,0.0229609731078728,0.0324164080443474,7.123743492869,47.4702062013852,0.934097824250898,0.0993541827671776,405.769933861422,21.4052811705452,62.6008429032779,0.740879282227787
601.8,0.676972327100393,1.17318660557355,0.852408014767263,3.42354757547726,2.31497723739628,15.811376683459,2.71338457910689,0.0214162286516512,0.035841184863081,7.11689386704716,47.2780507351549,0.932614890942468,0.121229518562998,405.45559154374,21.3850851657211,62.5055015758453,0.742860849284064
602,0.676659674472475,1.17257438897947,0.851956927830818,3.42101105544703,2.3148682046915,15.8083000763515,2.71314230828192,0.0187825358855663,0.0375455648533449,7.11014524419094,47.0851421887163,0.931285977423468,0.139529865994485,405.173379544896,21.3655857979373,62.4357008416137,0.745142319478847
602.2,0.676371803603527,1.1719881000845,0.851542767713191,3.41861140314836,2.31516358163477,15.8068534577559,2.71310117249358,0.015668003009777,0.0377333042281844,7.10359909651385,46.8954539858322,0.930132305507333,0.153597298185006,404.921280410391,21.3470841539485,62.3866016156559,0.747579538565058
602.4,0.676112529685838,1.17143521595873,0.851170599120943,3.41637529403465,2.31578879368325,15.8066484664179,2.71321534142251,0.0125139977543593,0.0366467918701118,7.09732474319625,46.7122680464387,0.929166557858326,0.163312307665436,404.696581395424,21.3297670498734,62.3539168501631,0.750050120058501
602.6,0.675883397700486,1.17091982561653,0.850842386785411,3.41431638729162,2.31666596625712,15.8073370497914,2.71344299213199,0.00960645048057014,0.0345230882584834,7.09136967606634,46.5381786291496,0.928393927507882,0.168850730104112,404.496462681058,21.313739660977,62.333983333436,0.752453259503311
602.799999999999,0.675684187066829,1.17044339912477,0.850557662094364,3.41243765755719,2.31771971763236,15.8086155279106,2.71374713426303,0.00710580509861827,0.0315796063899595,7.08576389700064,46.3751169523506,0.927812749225206,0.170530632318342,404.318182810793,21.2990394805141,62.3237299217023,0.754707381706155
602.999999999999,0.67551319828107,1.17000516023457,0.850313917503722,3.41073269914725,2.31887959890941,15.8102227326435,2.71409550276366,0.00507655597077009,0.0280120935357282,7.08052197460135,46.2243839309822,0.927415016460551,0.168728233401201,404.15912659709,21.285643618453,62.3206157102557,0.756747614876587
603.199999999999,0.675367512161749,1.1696024030163,0.850106972725057,3.40918706909942,2.32008112559121,15.8119380369657,2.71446043493119,0.00351284848102819,0.0239958576695492,7.07564489164629,46.0866915699725,0.927186952623164,0.163836454109953,404.016836216242,21.2734762150085,62.3225610078312,0.758523714335628
603.399999999999,0.67524328616514,1.16923087346898,0.849931388954399,3.40777997233837,2.32126631191509,15.8135800962892,2.71481889517074,0.0023625007604396,0.0196891022855549,7.07112237225114,45.962214112619,0.927109701802242,0.156246659553367,403.889044055984,21.2624179408106,62.3278697341681,0.759998480683618
603.599999999999,0.675136034945704,1.16888512810159,0.849780857110007,3.40648593222115,2.32238386168038,15.815004529793,2.71515235310874,0.00155008895034744,0.0152435198146854,7.06693511210384,45.8506442635467,0.927160131566111,0.146347051636891,403.773652731723,21.2523155211277,62.3351380126975,0.761146791473324
603.799999999999,0.675040829340356,1.1685587535247,0.849648475644777,3.40527606568382,2.32338906358616,15.8160992954254,2.71544624908263,0.000996128810969745,0.0108311991427443,7.06305618791775,45.7512470981559,0.927311795836245,0.134543770812364,403.668589871003,21.2429892095874,62.3431446955479,0.761955957939148
603.999999999998,0.674952427976727,1.16824446431104,0.849526942109863,3.4041190650988,2.32424383569054,15.8167779607787,2.71568899924963,0.000629462029408121,0.00670857485254977,7.05945171561775,45.6629059029615,0.927536329305602,0.121324858166962,403.571442010811,21.234239353275,62.3506996110658,0.762429274244622
